id,source,url,text,relevant,save_motive,current_blocker,uncertainty_type,external_channel,workaround,segment_gender,segment_category,segment_price_tier,segment_occasion,severity,evidence_quote,confidence,provider
3611a631-fd85-474b-ae7c-1c659c0f5032,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,Easy to use and wide choice,False,,,,,,,,,,,,,gemini
c4a618ad-c6f0-4183-95e1-46c427dca08a,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,its very nyc jwellery set.,False,,,,,,,,,,,,,gemini
b34b555f-faef-4c08-a743-85abc42ec6c2,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,"very bed service , product quality very bed, mene apne order acoding 4 bar complan ki or vah bhi senior officer ae fir bhi resolution nahi mila or. mene 2 order Kiya dono upne aap cancel kar diya",False,,,,,,,,,,,,,gemini
9479de2c-5941-4e18-813f-a5b842516aab,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,worst ecommerce app. It will make life hell. They have delivered product with some items missing.They neither refund money nor give you full product and it will make life hell in infinite bot loop which doesnot understand concern. Amazon is best seeing the Myntra service.,False,,,,,,,,,,,,,gemini
486df905-5d1f-4c3d-80c9-7233efb95e83,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,"I'm desperately trying to unblock my account but myntra blocked my account, without any notification.",False,,,,,,,,,,,,,gemini
f3eff124-d8c4-4683-bd53-b7386f0e7f0e,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,the entire myntra is a fraud they are just confirming the order and canceling the order without any intimation and give 10% discount to hell with your discounts,False,,,,,,,,,,,,,gemini
1fd1c7de-391f-4e1f-b983-1f8d2ff0ffd7,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,best app for shopping with great offer 😍😍😍,False,,,,,,,,,,,,,gemini
ab4c07b6-85ea-4e2e-9ff4-01a4518acb83,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,"ordered jeans, requested return because of a fitting issue, the delivery guy told me that the loop tag number is mismatched and I should call the customer support and take the approval. When I called the customer support she put me on hold for 8 mins and no one assisted me, I had to disconnect the call out of frustration. this was not expected from myntra.",True,fit_size_uncertainty,delivery_returns,fit,none,called the customer support,unclear,western,unclear,casual,high,"ordered jeans, requested return because of a fitting issue",medium,gemini
5c26506d-7839-4ece-9a44-491018b4d367,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,"Strong & Clear Very disappointing experience with Myntra. I placed an order and made the payment, but I have not received my parcel and I have not received my refund either. I have already contacted customer support multiple times, but I still haven’t received any proper resolution or help. Taking payment from a customer and then neither delivering the order nor refunding the money is completely unacceptable. Myntra needs to take responsibility and resolve such issues immediately.",False,,,,,,,,,,,,,gemini
56769e71-ae4a-41c0-a2a1-eda3f341c6ac,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,"offers will be good, but platform charges are more",True,price_waiting,price_waiting,price,none,,unclear,unclear,unclear,unclear,medium,"offers will be good, but platform charges are more",high,gemini
95f5c02b-4aad-45b3-b96e-8545dbffbcb8,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,Order exchange karne me issue hota hai..😒😠,True,delivery_returns,delivery_returns,delivery_returns,none,,unclear,unclear,unclear,unclear,medium,Order exchange karne me issue hota hai..,medium,gemini
1d4b7ce4-ecba-48f3-86b8-7736d194b4b8,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,тнιѕ ιѕ тнє αмαzιиg fα¢єωαѕн ι нανє иєνєя ѕєєи ιи му ℓιfє ι ѕυggєѕт уσυ тσ ρℓєαѕє σи¢є α тιмє υѕє тнιѕ fα¢єωαѕн fσя αмαzιиg яєѕυℓтѕ αи∂ вєfσяє ρℓα¢ιиg σя∂єя ρℓz ¢нє¢к тнє єχριяу ∂αтє... тнαикѕ ѕσ мυ¢н🫶🏻💕💬,True,quality_authenticity_doubt,quality_authenticity_doubt,quality,none,check the expiry date,unclear,beauty,unclear,none,low,before placing order plz check the expiry date,high,gemini
ad1992d7-ce84-4598-8fa3-01d99fd7d8b0,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,this app is very nice for online shopping and i like all the products which i had been ordered from this app...if you interested in online shopping than you must try this app...,False,,,,,,,,,,,,,gemini
44fb67db-0b2e-41c6-a3ea-b378aefc9e64,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,useless app not giving exchange on time delivery,False,,,,,,,,,,,,,gemini
4389f559-4dca-4dac-a41b-045db9579477,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,"“Absolutely love Myntra! 😍 Great collection, offers, and smooth shopping experience. Highly recommended",False,,,,,,,,,,,,,gemini
8052dfc7-124b-478d-a82c-97536c846a9c,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,Great product with fast delivery.,False,,,,,,,,,,,,,gemini
9311da2c-8eaa-4b9b-b26e-a5e6c9734f11,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,best delivery and shopping experience go check it out,False,,,,,,,,,,,,,gemini
f8b089ce-6b9d-4ffc-a471-6000be6fcd64,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,Wonderful product and fit good.,False,,,,,,,,,,,,,gemini
82fc5bbb-e9cf-4252-a080-2c415bb07a96,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,nice app rate my experience this app 5* and very useful i purches product and reviews giving earning ke liye bhi best h me khud iska use kar rhi hu mere hisab se bohot jyada best h product bhi achi quality ke hote h ☺️,False,,,,,,,,,,,,,gemini
54252de4-996f-4e74-b7c7-a4c9b9ddee9f,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,nice online platform for buying clothes and following the latest trends very authentic brands and quality of clothes with reasonable price 😁,False,,,,,,,,,,,,,gemini
6e789314-4a7e-48e4-b99d-799ad1f81641,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,"Very fast, easy and reliable shopping site",False,,,,,,,,,,,,,gemini
bc37a303-b812-414c-9a58-97f979e7f2d7,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,my first experience with myntra was too awasome....,False,,,,,,,,,,,,,gemini
9ea589dd-7f99-4d04-9c16-7f05b7fc0b31,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,"Look: Simple, sporty/casual cargo style. Black/navy color versatile hai. Fit: Waist par elastic comfortable lag raha hai, aur legs ka fit straight/relaxed hai. Bahut tight nahi hai. Design: Dono sides ke zipper cargo pockets practical hain aur pant ko utility look dete hain. Length: Overall length theek lag rahi hai, ankle ke paas thodi loose finish hai. Fabric: Photos se fabric lightweight, slightly shiny/nylon-type lag raha hai—daily casual wear ke liye achha ho sakta hai. Stitching: Visible s",True,in_app_comparison,in_app_comparison,fit,none,,unclear,western,unclear,casual,low,"Fit: Waist par elastic comfortable lag raha hai, aur legs ka fit straight/relaxed hai.",medium,gemini
33a8dd73-04c7-4696-9ad4-b52985836b55,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,super products I believe his words I have good experience,False,,,,,,,,,,,,,gemini
1b4ddb6b-e59e-4313-abe1-97e55b80f075,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,ek dam mast shirt hai iski pehan ke to me bilkul hero wali feel le rha hu,False,,,,,,,,,,,,,gemini
5dc471a7-aad3-4c29-9867-4072a0036d28,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,"Previously, the application and customer service were quite satisfactory, and we were able to discover authentic and high-quality products. We had been utilizing it for many years. However, our recent experiences have been rather disappointing, as they appear to be permitting counterfeit products on their platform. Furthermore, when we attempt to return these items, their customer service declines the return, citing the product as fake, despite the product tag and original packaging remaining in",True,quality_authenticity_doubt,quality_authenticity_doubt,quality,none,tried to return items,unclear,unclear,unclear,unclear,high,"they appear to be permitting counterfeit products on their platform. Furthermore, when we attempt to return these items, their customer service declines the return.",high,gemini
ab09a585-a260-4182-89f4-5d268aba1632,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,Best and reliable site/app for original brands.,False,,,,,,,,,,,,,gemini
957a94ae-952c-4fc9-8f49-94f2dbf68998,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,"My Cash feature worked once but it got blocked and the platform fees are also high, it was fine in the beginning.",False,,,,,,,,,,,,,gemini
dc55610d-702d-4f7e-9606-5ffaadeb9b84,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,Delivery is post poned without prior intimation,False,,,,,,,,,,,,,gemini
ea91ac42-b77a-41f7-a935-7557207b96f1,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,best app for online shopping,False,,,,,,,,,,,,,gemini
8682952f-38f6-470b-b78d-cc84900ece7c,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,Great app and shoping experince.,False,,,,,,,,,,,,,gemini
3af8396c-fe54-447f-8d70-33e59a82ce76,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,Very bad experience...... Never gonna buy anything from Myntra ..... Fraud.. . Very bad experience with Myntra.....same pathetic experience .......Keep on delaying the product and misleading the customer....My product was supposed to be delivered on 10 and today is 14.....Keep on delaying,True,,delivery_returns,delivery_returns,none,,unclear,unclear,unclear,unclear,high,Keep on delaying the product and misleading the customer....My product was supposed to be delivered on 10 and today is 14.,high,gemini
84f3e029-8e0f-49bc-8799-75baed9c5d2f,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,worst experience they simply blocked my account. Now I'm unable to login also I had one unsolved complaint.,False,,,,,,,,,,,,,gemini
18953641-9ee9-4a95-b20c-77783d598a42,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,"They don't deliver order in time and don't give delivery date,they just say your delivery is delayed and waste your time",True,,delivery_returns,delivery_returns,none,,unclear,unclear,unclear,unclear,high,"They don't deliver order in time and don't give delivery date,they just say your delivery is delayed.",high,gemini
285abac7-c1ee-4420-9f78-02235c0b496a,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,exact size and comfortable love it,False,,,,,,,,,,,,,gemini
e8687f5e-4421-400a-8c35-e519d20e9925,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,product quality is excellent,False,,,,,,,,,,,,,gemini
72b4d5b9-3544-4c0e-a424-fdc2c3cb46a8,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,It's the best shopping app. It offers cash back on any order. It's too good; go for it.👍,False,,,,,,,,,,,,,gemini
7381059f-8dac-484e-9b02-c2c3644e4017,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,Always Giving Best Product..,False,,,,,,,,,,,,,gemini
e862996b-71f9-4da5-be8f-522ec9970e9b,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,"High price but good quality product I received it, if Myntra reduce the costume price and give good quality products, they customer will be more happy to afford it.",True,price_waiting,price_waiting,price,none,,unclear,unclear,premium,unclear,medium,"High price but good quality product I received it, if Myntra reduce the costume price and give good quality products, they customer will be more happy to afford it.",high,gemini
e9c4d78c-0084-48c1-aab4-40835ae635d1,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,I had a very good experience with Myntra.,False,,,,,,,,,,,,,gemini
1880a323-27c0-45bf-b3b7-6290c4d9052a,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,It is a purely quality product platform. There are no bad quality products here so don't hesitate for the quality just order and enjoy it. I will definitely recommend it.,True,,quality_authenticity_doubt,quality,none,,unclear,unclear,unclear,unclear,low,don't hesitate for the quality just order and enjoy it.,medium,gemini
51723965-099e-4423-93eb-4c13662a6a39,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,"Worst Experience with Myntra! ⭐ Absolutely terrible experience. I received the wrong product, and despite raising a complaint, Myntra is only offering a refund after pickup instead of a proper replacement. Very disappointing customer service and zero accountability. I strongly recommend avoiding Myntra. Don’t risk your money and time!",False,,,,,,,,,,,,,gemini
3ba8acbe-9321-48c1-8da7-ddef6588ea9c,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,the app product is so good and very comfortable meterial,False,,,,,,,,,,,,,gemini
f8736118-b932-4a6c-972c-720f82d554a1,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,lots of app in the pool n mantra always stay ahead.,False,,,,,,,,,,,,,gemini
981e1446-294e-41d7-8601-3091f7e2bdba,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,what is this behaviour myntra why you are not corporating with customer complaint,False,,,,,,,,,,,,,gemini
eaa596a3-654f-4074-a987-5daf9ee8ddcc,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,great fashion collection 😃,False,,,,,,,,,,,,,gemini
6bb7038c-6f63-4362-8264-42ac3ba24f04,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,delivery time is too long,False,,,,,,,,,,,,,gemini
32c8dce7-0e13-4acd-997f-24e73f4295ad,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,I am interested with very very nice,False,,,,,,,,,,,,,gemini
6114d1bf-2094-48aa-b911-943100362648,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,very good jeans best quality bast colour,False,,,,,,,,,,,,,gemini
96a883c3-ddb1-436c-b329-42236b51adff,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,It's a great experience every time I purchase from myntra,False,,,,,,,,,,,,,gemini
5cd9a616-a3d8-44cb-ab54-59bb96d4f9f1,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,nice app with good customer service,False,,,,,,,,,,,,,gemini
48c9d91f-4ce6-47ad-8389-b797b0b8bde7,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,overall my experience is very good.,False,,,,,,,,,,,,,gemini
b864c027-d0a0-4107-9750-ace04b3989de,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,waste my time order don't be delivered extended date for three times hated app 👎,False,,,,,,,,,,,,,gemini
0a302cd7-68e3-4725-a8ec-278146111ff3,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,nice experience thank you,False,,,,,,,,,,,,,gemini
33a2393d-436d-4189-a611-d5298d6f033f,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,genuine products delivered by Myntra,False,,,,,,,,,,,,,gemini
690704c0-0c09-4783-a462-c03f857e99f4,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,very good app user friendly. price is better than other,True,,,price,none,,unclear,unclear,unclear,unclear,low,price is better than other,medium,gemini
ae645216-d78b-45fa-a784-70f5d34e4694,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,myntra is the best app for purchase and i m using from last 10 years of this platform. i luv it,False,,,,,,,,,,,,,gemini
063ee4eb-26d7-41c5-a4c9-d2381f9d2447,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,best app for shopping 🛒🛍️,False,,,,,,,,,,,,,gemini
6ab36c9d-55d8-49eb-b90c-e26f2b856164,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,wonderful app with wonderful product,False,,,,,,,,,,,,,gemini
3f0c8f03-d6c1-42a0-ac4d-51ea99e03efe,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,best shopping app and give best discount,True,,,price,none,,unclear,unclear,unclear,unclear,low,give best discount,low,gemini
3f7c9005-f91b-4a20-afa9-129ad218b5f6,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,very good app faster delivary,False,,,,,,,,,,,,,gemini
87ab906f-6f81-4600-abfc-e892e87ddac3,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,best online shopping app I always prefer this app for beauty and clothes 🩷💎,False,,,,,,,,,,,,,gemini
5c2d574f-1fb7-4ede-a492-6200523f3dca,playstore,https://play.google.com/store/apps/details?id=com.myntra.android,"I have had a very bad experience with this app. It is a very useless app. It does not support anything, so I would not recommend it to anyone. Delivery experience is very bad",False,,,,,,,,,,,,,gemini
